img,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,id
23.jpg,156.52008,92.17492,106.4399,147.56291,158.0317,128.01305,90.80951,57.66107,84.36638,105.11028,98.06236,95.5183,79.19895,88.7569,85.99226,1
24-0.png,156.65619,90.76648,92.77496,157.91572,158.1036,127.41835,86.46839,69.80737,71.18873,89.46757,99.97005,83.15265,74.12003,95.7265,82.26102,1
24.jpg,153.77799,91.48035,101.50295,159.66844,162.12449,115.08292,96.47436,73.99414,76.01222,82.58842,97.94881,77.84692,77.02721,115.68052,120.68678,1
25-0.png,96.35115,105.72576,97.25076,144.7584,157.05929,134.46927,109.82913,81.27238,73.05566,82.86867,100.17166,93.28462,86.70836,90.47179,69.64673,1
25.jpg,168.20642,90.54004,101.50838,163.51478,159.3882,111.79267,93.95487,67.68163,67.45071,77.55472,106.18291,85.23052,80.89846,101.2074,87.46076,1
26.jpg,166.9708,96.05057,102.2344,146.60156,144.39622,119.45456,88.96174,79.52543,78.08826,105.73488,93.90623,96.10333,78.61168,97.29756,61.89144,1
27-0.png,117.63614,105.51574,92.77243,145.80281,153.85789,113.5019,105.69805,61.69885,60.34472,97.68019,91.32243,83.01197,67.52148,112.53602,110.10159,1
27.jpg,148.03624,88.54091,100.89831,162.17538,171.39394,114.71882,114.98709,62.07208,75.6361,102.46653,100.17167,99.58688,81.92547,88.83279,75.34371,1
28.jpg,166.86029,88.02403,99.72168,155.87305,160.54461,115.48017,91.95548,69.80426,72.62984,86.73704,101.51406,81.65319,75.85972,111.17704,93.77925,1
29-0.png,159.97049,88.50671,93.95771,155.39599,164.27263,117.94222,79.03737,67.62889,71.80407,98.49503,98.19136,95.43689,85.24071,89.66928,80.8588,1
29.jpg,155.89272,83.25341,103.92563,160.29488,160.81733,105.45655,85.19851,68.27366,73.20778,91.345,109.15529,88.99027,91.15042,86.89508,79.1649,1
3.webp,155.53064,88.52277,94.07266,107.73585,97.38652,150.4148,72.38642,101.77561,103.50824,77.45901,106.19411,86.41101,78.24122,102.10279,78.31156,1
31.jpg,174.15107,93.26106,93.30773,163.21294,167.6944,107.59211,80.17817,69.05207,66.82558,82.43882,106.44508,99.80765,94.69042,91.76513,101.95631,1
32.jpg,100.57066,111.65639,100.21474,132.23902,150.05839,132.33024,104.44333,84.30599,74.65891,83.00548,101.13862,89.45859,85.16038,87.03173,74.35366,1
33-0.png,167.81132,92.34828,91.98471,167.81797,169.2836,113.54963,110.07838,68.9014,72.18054,84.79812,100.75855,87.20495,85.4056,85.31212,88.72139,1
33.jpg,172.2143,90.27408,102.58189,154.0147,163.49638,118.80023,85.90495,75.78567,78.95138,79.15835,106.93337,88.38224,89.05261,95.36329,74.34948,1
34.jpg,171.25566,88.2269,101.53533,165.65172,154.81702,115.00439,95.32717,69.92528,71.53339,81.59287,102.85156,84.29566,80.32118,93.96285,76.61549,1
35-0.png,163.44459,88.67469,106.85389,162.1368,160.70597,116.38171,93.74951,58.35344,76.29487,79.71361,104.59083,84.25063,80.98659,114.06948,111.79321,1
35.jpg,137.47499,93.98064,111.54199,129.75918,137.47045,135.51495,85.24693,82.73183,89.28922,98.73882,99.65386,97.73378,81.4621,80.02817,60.24008,1
36.jpg,167.58821,90.27909,107.19226,164.86104,167.3511,118.5025,108.37511,76.70866,90.79997,78.54548,101.04954,72.69916,74.72306,103.52799,108.53877,1
37-0.png,171.17505,93.04442,94.684,168.52507,172.57481,110.66794,94.98773,66.42373,73.52657,80.84102,104.70006,96.05274,90.88462,99.21572,88.92232,1
37.jpg,165.13585,92.96868,90.84579,173.66462,168.68959,105.71109,100.89548,50.54985,55.08797,86.69978,98.97877,70.07093,60.29645,103.09046,103.05442,1
38-0.png,157.22485,113.60291,109.50975,136.11098,150.36267,120.61692,97.10223,40.26309,83.6433,96.00407,99.90953,114.97095,99.39914,133.91178,110.58017,1
38.jpg,144.30418,91.05862,104.59579,139.3496,151.93906,128.3056,76.92238,75.88564,81.22709,97.51221,95.64605,86.07733,75.79073,107.00307,101.45623,1
39-0.png,152.8237,87.10656,111.21537,158.65195,159.18056,136.16183,112.3419,68.70039,85.74567,95.49934,106.71529,109.61737,88.96535,37.02656,99.74669,1
39.jpg,165.76161,93.72892,91.8455,168.6314,173.63571,120.82167,99.88518,55.29565,70.14738,85.42932,99.77439,94.89756,79.93193,102.69232,85.82578,1
40-0.png,163.43045,97.76407,103.73728,154.59763,152.47216,124.78124,91.41038,47.17988,72.45449,91.74715,97.38154,97.61372,86.32012,114.86002,41.29455,1
41.jpg,173.66573,90.07371,96.42776,164.82997,161.58877,105.43534,94.62596,67.91943,71.0721,89.52927,102.49074,90.74729,86.58111,93.86175,89.05968,1
42.jpg,161.24965,86.37623,99.66452,148.56183,157.146,127.68692,90.47343,63.60897,70.18475,98.4218,102.6543,95.19274,82.06957,100.82238,72.56155,1
43-0.png,169.07256,100.58423,95.69669,157.49622,155.93768,116.051,96.04888,80.80173,76.16071,81.36488,98.74757,77.42642,72.96758,104.28413,98.32667,1
43.jpg,106.19968,94.98453,109.48706,133.7032,144.83233,133.51392,89.90938,78.8751,76.80318,98.82533,104.76205,101.87028,87.28714,102.99751,74.27065,1
44.jpg,177.32844,91.87405,104.06505,149.77675,149.9293,115.36541,80.70534,75.34774,74.37664,75.04756,104.42282,88.32477,82.49814,86.78502,78.89025,1
45.jpg,155.57252,86.52682,117.51586,154.99557,156.98877,130.316,100.82906,72.55962,86.68202,85.11103,100.61016,115.63844,101.08917,120.74781,133.01251,1
46-0.png,79.27098,97.68983,98.01602,150.84279,152.7524,121.88502,96.00833,74.82836,71.33393,92.09827,96.64209,93.75402,81.40303,97.53252,72.07765,1
46.jpg,112.49182,102.00524,98.25669,134.38557,148.47036,127.84882,104.53536,81.70126,80.55884,99.52373,97.60765,98.3602,84.69925,82.10818,66.27521,1
47.jpg,159.73202,90.63794,104.10943,148.21532,156.44059,127.38739,100.31835,62.42634,71.38376,92.54068,100.62807,88.99614,76.5585,85.80063,78.30574,1
48-0.png,166.62405,93.03968,94.47153,161.32379,157.30213,115.59654,95.22316,70.53418,72.89303,87.98328,102.88694,95.25116,84.2878,85.71256,61.15062,1
48.jpg,131.70068,96.1981,109.19401,131.67812,149.00948,122.87844,83.78944,75.43777,82.5367,99.84478,97.15424,101.94975,91.20161,88.4483,73.07434,1
49.jpg,148.41185,93.32735,106.55558,157.29727,160.76295,123.36626,107.20042,66.15692,85.02077,108.48078,94.37037,100.66919,85.79364,77.16055,95.22516,1
50-0.png,139.21733,101.99047,89.15577,152.89707,151.27463,109.74469,88.67445,83.43311,77.40148,91.00003,93.76233,80.85871,72.49761,113.50374,95.90886,1
51-0.png,170.06743,85.55213,105.07612,150.56601,158.97595,123.55022,87.80199,62.69332,72.65816,90.82994,104.51431,89.36277,76.84298,90.23148,79.43582,1
51.jpg,167.9662,92.64165,95.76035,162.4135,169.32276,114.11559,93.80643,59.11647,66.69915,86.14753,101.87384,73.22089,63.84792,77.8337,103.62465,1
52.jpg,154.60547,105.52942,84.47449,159.30329,165.23532,128.42125,115.70277,56.56822,64.74826,89.63072,97.15747,86.91062,80.57883,97.40022,90.9492,1
53-0.png,169.49649,91.1864,98.0271,162.7816,157.73558,119.22554,90.37272,68.49659,74.27542,84.55587,103.31019,88.57346,81.30859,85.93645,69.95249,1
53.jpg,155.90948,87.43685,94.27922,168.74611,165.61054,117.00188,90.56235,56.41405,63.08968,114.2291,96.74429,104.34347,90.89628,74.50626,83.6117,1
54.jpg,157.79679,90.89011,97.43437,154.9317,159.01357,121.90737,90.61404,74.17978,73.47082,87.42637,100.51318,92.70623,83.49012,96.27091,78.34117,1
55.jpg,168.34763,89.2622,103.86115,148.00808,154.89706,126.44303,102.16231,73.34187,78.72078,90.31531,99.88497,81.54175,67.1151,109.24294,100.92723,1
56.jpg,167.05951,90.9779,103.68629,163.37294,166.55304,110.64114,80.71773,65.52494,76.22472,80.78104,102.59117,85.38167,82.12714,103.82562,93.22045,1
57.jpg,172.94954,88.36139,105.41719,158.60678,160.329,121.79912,81.95081,72.7012,73.26081,77.72097,107.00088,85.198,80.97288,99.37728,78.12992,1
58.jpg,172.96907,91.55619,108.17855,151.1181,143.64292,122.99051,88.28633,74.67795,78.04637,82.11234,100.75916,89.30242,85.42187,84.83832,72.21442,1
59.jpg,164.84451,91.94349,98.17889,165.05874,159.23711,118.39144,91.97166,70.08784,64.93749,78.09024,107.34649,82.84442,74.65743,96.06367,77.20538,1
60.jpg,168.14934,94.84776,102.34902,148.79769,147.28542,122.20253,103.83995,70.27472,74.57207,84.55764,105.14496,83.79972,78.04886,84.97798,76.94075,1
61.jpg,176.39003,93.62047,96.24327,170.79479,165.85888,123.45152,125.55894,66.60662,51.169,77.09008,102.46908,89.19099,86.9258,95.48592,82.72033,1
62.jpg,146.27722,118.4204,119.33538,156.3029,164.17243,54.86169,98.79493,15.11654,91.40181,76.39529,100.23177,96.64035,64.50933,88.73447,90.83621,1
63-0.png,156.61926,90.95632,103.9741,150.21402,161.01036,131.06836,108.43776,71.88098,78.48042,79.60616,106.53336,85.9271,82.31333,90.23123,65.83892,1
63.jpg,141.77233,98.6409,100.55267,149.78374,157.69411,126.00837,99.91402,71.63972,75.24473,88.26975,98.90284,73.37541,64.02195,106.97866,88.85246,1
65.jpg,159.30858,86.12272,112.45774,156.84857,157.99651,128.47139,98.36973,72.56619,85.40807,77.09453,113.72745,86.93125,81.15036,95.95502,71.75933,1
66-0.png,161.46828,92.47857,100.6983,141.44464,143.52289,134.25477,89.07922,69.31765,78.21415,97.64093,87.04216,83.33644,77.64987,117.52018,106.67598,1
66.jpg,169.0799,94.85619,95.11363,160.91958,170.74305,129.50108,102.46842,67.7325,74.90085,92.7573,100.89043,93.54124,82.72695,81.21542,77.11395,1
67.jpg,169.00995,93.2655,96.689,164.80458,168.25064,98.00893,88.13663,67.06743,69.30832,82.86765,98.36968,106.71281,103.85771,86.06713,78.33478,1
68-0.png,123.33012,95.85269,99.16493,146.93243,149.22862,125.03767,116.53868,82.32982,82.07191,93.81683,98.37939,91.07991,74.96036,105.29688,81.29323,1
68.jpg,155.76348,92.55231,104.03427,152.59108,162.85344,132.23308,89.63805,58.0108,78.89471,111.45444,94.54646,93.27165,69.10851,97.5455,73.11969,1
69-1.png,177.47655,90.85681,92.91896,174.94897,167.57377,110.70854,105.24864,67.94288,67.15273,83.66989,101.58332,95.53341,92.30339,93.58259,77.29702,1
69.jpg,179.28324,95.92041,93.89269,149.80298,157.07537,131.70671,102.09309,78.60667,85.36294,85.85357,99.10829,79.83816,74.56876,89.56902,79.22713,1
70-0.png,167.29079,90.71446,105.68447,158.69978,156.97067,121.062,83.86807,74.39653,83.26425,87.72708,98.99641,89.62946,85.71163,103.05673,90.41548,1
70.jpg,159.90485,91.36322,92.013,169.62457,160.86624,114.28404,88.2764,56.05451,62.11466,96.00813,97.86852,85.44314,72.5455,75.81124,70.61573,1
74-0.png,164.81468,92.21926,92.40245,151.44975,159.66612,118.68444,94.89912,63.83995,65.64332,92.05731,97.06138,76.02756,67.77502,96.7344,89.58913,1
77-0.png,168.98011,89.63779,114.68135,145.47384,144.46004,129.51429,82.8098,71.71586,81.67306,77.97718,108.16894,85.58407,81.71901,83.68331,74.84262,1
78-0.png,149.17527,91.19429,108.44343,132.58969,145.33808,142.72153,85.15138,72.09529,83.99027,96.40894,97.96662,96.40021,82.64088,86.50212,74.26802,1
88-1.png,163.10178,96.64544,92.25864,140.95575,158.75025,120.9103,106.72374,72.80617,67.32589,81.52374,103.72492,85.21179,76.38627,91.42514,73.32769,1
89-0.png,148.3643,105.79133,88.11831,139.4376,148.65994,116.79643,108.82161,65.503,49.55185,81.67899,103.24915,78.94867,73.36142,117.97261,125.65943,1
92-0.png,167.41973,88.50678,108.45293,145.9484,145.78957,128.11675,89.08024,76.17841,80.3221,81.52685,106.0498,89.53231,81.53837,89.74628,67.01573,1
93-0.png,166.96899,94.72207,94.28742,162.54285,159.72992,122.21875,93.01449,71.5475,70.21314,86.85967,101.91739,85.92707,79.58608,84.29606,73.01342,1
94-1.png,157.64821,87.04711,99.32077,147.93197,143.74996,120.79678,106.4518,67.88041,75.36318,113.78303,92.80993,104.07836,81.96461,89.31936,63.88071,1
96-0.png,164.88459,87.14496,109.36015,160.46158,158.72584,114.751,84.99701,61.13951,79.34975,83.27711,102.03704,86.00461,82.66316,105.47204,105.45106,1
bb.jpg,163.90312,94.2047,99.96143,137.66679,141.34197,131.3724,75.02322,72.75147,75.90241,94.87251,96.14178,91.4036,81.58362,104.44229,80.10856,1
hhhhh.jpg,159.42737,92.52292,100.04814,158.54251,169.06499,122.99774,100.57818,56.22328,72.88267,94.71486,102.28694,92.25247,75.75515,92.02196,76.8371,1
jj.jpg,172.37163,84.91184,103.57521,157.45893,158.34659,118.6567,86.95014,65.57747,69.061,88.0529,103.0027,100.72484,92.01152,96.7489,79.77154,1
