img,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,id
12.webp,0.13934046,0.171806693,-0.152829453,0.246744081,0.359648198,-0.40370506,0.267609477,0.340197176,0.217117265,0.22920385,0.652215481,-0.454820007,0.238605365,0.616469204,0.231922045,0.221210584,0.923927665,-0.420982271,0.229548156,0.873236477,0.18199493,0.179336697,0.923535705,-0.445647776,0.191646099,0.890424907,0.123030074,0.541934252,0.521562219,-0.215127766,0.541481078,0.501791418,0.215385288,0.529670358,0.896802068,-0.289567649,0.524460495,0.854382157,0.182006583,0.780258179,0.887579143,-0.133243456,0.757637739,0.859938979,0.379660696,0.798635244,0.84771508,-0.107666649,0.78380394,0.821782053,0.401289165,0.894776225,0.950682402,-0.094652779,0.856048465,0.925101161,0.358465433,1
25-0.png,0.104850203,0.336304575,0.029907525,0.243539482,0.231374666,-0.278403699,0.240953341,0.317024469,0.375914872,0.251241654,0.591241956,-0.36587593,0.249836355,0.600076318,0.435766906,0.238940477,0.913975596,-0.321422786,0.239735827,0.872412562,0.309919864,0.193248451,0.932984293,-0.329684645,0.196122855,0.911652446,0.236983001,0.561485946,0.358876914,-0.204092234,0.546800971,0.394054979,0.204052523,0.600305855,0.878392577,-0.337471515,0.59404695,0.844900072,0.065141581,0.87245512,0.887321293,-0.174131915,0.850248396,0.863921225,0.240091607,0.896425486,0.837500453,-0.145344123,0.878247082,0.815230429,0.255288005,0.977660239,0.931596041,-0.095403329,0.952507436,0.909904122,0.186466143,1
26.jpg,0.25535363,0.391516775,-0.062290244,0.309335232,0.513727486,-0.253215432,0.345149279,0.493376553,0.197415456,0.310986727,0.69098556,-0.273098588,0.341528594,0.65683794,0.212141484,0.267814666,0.831690311,-0.224370822,0.30038482,0.773284197,0.151430368,0.241651759,0.825872183,-0.229468569,0.277150542,0.775404215,0.116161384,0.570458293,0.588665307,-0.150366843,0.574370444,0.567078829,0.150700688,0.57011807,0.806816638,-0.144387469,0.577122033,0.781562805,0.248620525,0.763540983,0.768305898,-0.001521499,0.755005121,0.759196222,0.380118877,0.776616454,0.736403108,0.023040758,0.773974299,0.726671159,0.39682883,0.835391164,0.800303519,0.096260354,0.799726069,0.796361923,0.415128618,1
27-0.png,0.085921884,0.254351079,-0.022494812,0.220334858,0.246836469,-0.282697767,0.262186021,0.230336279,0.288123906,0.235961154,0.591281652,-0.293133974,0.275296062,0.542151749,0.384370774,0.155729949,0.869976521,-0.207429647,0.214320987,0.810262442,0.332577705,0.099367589,0.877813697,-0.203013241,0.167255163,0.821220219,0.274482548,0.592240691,0.463225275,-0.160302475,0.597361326,0.457639426,0.160021111,0.633552074,0.923565805,-0.185565293,0.663429976,0.831179559,0.197866052,0.910967588,0.755407691,0.012002543,0.89491117,0.756403148,0.399145573,0.944567561,0.695388615,0.040257555,0.935006618,0.70007515,0.420106441,0.983944118,0.907284141,0.11546319,0.966941714,0.894847035,0.446010679,1
27.jpg,0.289734542,0.132381737,-0.362924874,0.349598229,0.338587463,-0.539181113,0.355365902,0.290335119,-0.023721786,0.340278864,0.59096241,-0.584750712,0.345918417,0.521165133,-0.002875694,0.305777073,0.809449077,-0.589359105,0.310869932,0.68773669,-0.01616532,0.272577822,0.81767571,-0.616918325,0.283373505,0.704567313,-0.062054839,0.566813469,0.472939342,-0.188311324,0.559350669,0.432940334,0.188780844,0.576392412,0.781071067,-0.200498417,0.568417966,0.694017112,0.305602312,0.764163375,0.761599898,-0.031504698,0.729683995,0.697112799,0.511206567,0.776213408,0.732299984,-0.007848153,0.742976844,0.667349875,0.532785714,0.837814629,0.798469782,0.021779494,0.802366674,0.754852474,0.531425178,1
28.jpg,0.139510155,0.18893972,-0.090797067,0.271786094,0.360826045,-0.361362547,0.283400834,0.340158045,0.27938816,0.272878349,0.637359023,-0.382035762,0.279379189,0.602718949,0.31534484,0.25053826,0.900785804,-0.322349191,0.262336016,0.803010702,0.22392644,0.210950047,0.895321727,-0.351474375,0.228008404,0.81210345,0.163330704,0.58490026,0.492031813,-0.211174339,0.583445787,0.469661951,0.211355537,0.591349125,0.859941304,-0.253148407,0.581989467,0.829532802,0.249494731,0.844889641,0.80929184,-0.061764076,0.806155443,0.776111603,0.441118866,0.873005152,0.762069702,-0.033007834,0.82814765,0.734371662,0.461847335,0.924910307,0.871983767,0.005134967,0.879477561,0.8447299,0.44655183,1
29-0.png,0.012640595,0.181669459,-0.074234895,0.165743917,0.349758029,-0.341232568,0.192874759,0.311768472,0.278370142,0.180871248,0.670971632,-0.350151211,0.193560094,0.641095102,0.296637058,0.157491863,0.947043777,-0.291557997,0.178797871,0.869144619,0.223192185,0.103965968,0.951008677,-0.314696997,0.136507154,0.889592111,0.150381565,0.538538516,0.471056104,-0.205435634,0.528343976,0.449296445,0.205819696,0.56038022,0.913394213,-0.2835567,0.550737083,0.850977659,0.229143471,0.873298764,0.886371255,-0.144873127,0.802365899,0.838248134,0.411761969,0.893717468,0.843710959,-0.118864343,0.836915195,0.798465133,0.430723161,0.990196109,0.947143316,-0.062877171,0.930640996,0.91039449,0.412185401,1
3.webp,0.302212298,0.60924226,-0.036688574,0.386963069,0.666850507,-0.183702886,0.386378676,0.650932074,0.173371643,0.362471819,0.836002827,-0.206125885,0.364095032,0.82287842,0.178898588,0.280529916,0.853569746,-0.110107929,0.283374339,0.84575659,0.137478292,0.26078397,0.843545377,-0.136708573,0.261856794,0.837414622,0.118987009,0.557825565,0.652307332,-0.13208206,0.553510845,0.638338923,0.132396415,0.545617759,0.906811953,-0.195616961,0.545821786,0.89116919,0.070781,0.696634054,0.897463202,-0.087986372,0.689020276,0.897138774,0.153403372,0.710878968,0.872736454,-0.06808278,0.705901504,0.872836351,0.162386358,0.755058885,0.935450494,-0.031422377,0.739289522,0.936793983,0.142971277,1
32.jpg,0.273093045,0.458748043,0.003602748,0.368045092,0.398216844,-0.206026569,0.366931289,0.440142393,0.254666418,0.372011423,0.626462936,-0.270588517,0.375588119,0.627198339,0.308893681,0.362243056,0.832250893,-0.218722209,0.367599785,0.795193076,0.218677476,0.330213577,0.838824987,-0.217795178,0.336380482,0.817880452,0.17419748,0.59704107,0.48052606,-0.135823578,0.59077847,0.494525343,0.135846272,0.621804476,0.804640532,-0.228369758,0.618365884,0.784782231,0.058923092,0.816362739,0.806625843,-0.107891679,0.801702261,0.79111445,0.18660675,0.830138266,0.774766743,-0.088585719,0.819549382,0.754012764,0.198142484,0.891689479,0.83611834,-0.053651776,0.872212648,0.817594826,0.16958189,1
33-0.png,0.048655778,0.141383439,-0.085086487,0.14514479,0.352816701,-0.324147612,0.166864544,0.337491274,0.240601063,0.116049588,0.664507747,-0.324116975,0.146392018,0.627855003,0.265800893,0.083205312,0.927574635,-0.282944769,0.115453213,0.847132921,0.243427306,0.040224224,0.940407395,-0.293745458,0.078748345,0.86782676,0.18934229,0.477410734,0.499890715,-0.197302893,0.472512811,0.482146502,0.197802067,0.523299754,0.917313457,-0.283484608,0.509791434,0.854823351,0.167764321,0.799655318,0.87734431,-0.169539154,0.738031268,0.833963752,0.3547993,0.825043619,0.82382834,-0.147373542,0.767690182,0.787275076,0.376607329,0.909568965,0.923127115,-0.11433544,0.835373402,0.879461586,0.351800561,1
